jgi|Aspind1|371020|estExt_Genewise1.C_420010;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;26.51
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspnid1|5674|AN1036;30.12
jgi|Asplac1|481471|MIX10488_48_29;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;29.44
jgi|Aspnid1|8329|AN2547;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.50
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspnov1|515935|estExt_fgenesh1_pm.C_100064;29.25
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspscle1|446059|MIX11480_8_11;29.37
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspste1|467349|estExt_fgenesh1_pg.C_7_t20262;28.42
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspvad1|490910|estExt_Genemark1.C_260140;29.58
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Asppip1|519995|estExt_Genemark1.C_8_t10372;31.99
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Neofi1|3702|7000001156978898;28.21
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspoch1|486784|estExt_Genewise1Plus.C_9_t20252;28.35
jgi|Aspvad1|359092|estExt_Genewise1.C_3_t30095;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.73
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;NRRL3_08980;30.06
jgi|Aspnov1|454988|estExt_Genemark1.C_100162;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.12
jgi|Aspscl1|519435|estExt_Genewise1Plus.C_18_t10416;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;33.73
Aacu16872_026431;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;29.45
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspeuc1|309019|e_gw1.7.821.1;32.65
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Afu3g01410;33.18
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspfu_A1163_1|103758|CADAFUBT00004689m.01;33.18
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspka1_1|20326|AKAW_08853;33.09
jgi|Aspfo1|83090|estExt_fgenesh1_pm.C_10_t10048;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;29.43
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspfo1|48698|fgenesh1_kg.9_#_577_#_Locus2972v1rpkm62.90;33.09
jgi|Aspsac1|376297|fgenesh1_pm.35_#_64;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.00
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Asphet1|415288|MIX13600_4_6;31.87
jgi|Aspoch1|484695|estExt_Genewise1Plus.C_7_t30276;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;30.91
jgi|Neofi1|6032|7000001156990438;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;33.84
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspcam1|309857|estExt_fgenesh1_pm.C_4_t10179;31.40
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspneo1|442306|MIX10429_104_39;32.40
jgi|Asppip1|503670|MIX9900_14_10;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.80
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Asptu1_0135063;32.63
jgi|Aspscle1|1697|CE1696_4833;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.04
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspell1|391648|estExt_Genewise1Plus.C_3010032;32.46
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspca3|511653|estExt_fgenesh2_pm.C_1_t10378;32.60
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspfl1|26370|7000001155801274;46.50
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Aspzo1_0160229;42.13
jgi|Aspuva1|373323|fgenesh1_pm.17_#_37;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;45.05
jgi|Aspste1|400784|estExt_Genewise1Plus.C_2_t100240;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;44.71
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Aspve1_0883631;46.90
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Aspgl1_0172834;46.32
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Aspsy1_0042228;46.36
jgi|Eurhe1|547227|MIX12595_191_48;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;45.89
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;AO090206000074;46.29
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspcl1|4146|7000001156850842;47.82
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspind1|456676|estExt_Genemark1.C_360031;46.89
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspbru1|369293|e_gw1.57.173.1;47.72
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Asphom1|388479|estExt_Genewise1Plus.C_130103;47.63
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspacu1|475632|estExt_Genemark1.C_750062;47.30
jgi|PenbrAgRF18_1|274638|e_gw1.1.1623.1;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;47.03
